Time (ns);[3Fe-4S]+ exp1;[3Fe-4S]+ exp2;[3Fe-4S]+ exp3;[4Fe-4S]2+ exp1;[4Fe-4S]2+ exp2;[4Fe-4S]2+ exp3;[4Fe-4S]2+ exp4;[4Fe-4S]2+ exp5;[4Fe-4S]2+ exp6
27;10278.2957;10709.7426;10604.2544;9548.473;9693.2821;9611.5772;10300.4838;10163.6177;9691.9717
27.5;9780.1686;10678.9058;10386.0565;9639.7691;9622.1701;9716.0099;9990.3621;10466.3972;9480.2263
28;9985.5865;10855.7431;10777.3755;9309.9616;9802.6262;9932.9421;10603.8567;9835.458;9798.9493
28.5;10264.1593;10767.8077;10539.4657;9714.6888;9864.3064;9757.5079;10122.1552;10215.0497;10285.2416
29;10062.6416;10672.7535;11101.2271;9591.6041;9824.1105;9724.2674;10263.4984;10035.0816;10040.5461
29.5;10033.3485;10729.8199;10725.6676;9689.483;9746.5368;9773.2874;9815.4493;10256.9311;9378.3309
30;10075.0322;10785.7343;10852.852;9588.932;9299.9666;9301.9503;10344.112;10498.1285;9544.073
30.5;9626.7143;10905.0625;11092.4221;9681.2211;9621.3714;9709.8922;10369.3044;10299.9965;9824.2079
31;9919.0367;10966.0347;11214.807;9799.6187;9603.5491;9296.912;10540.0795;10390.0371;9522.5356
31.5;9791.9205;10906.4783;10900.5784;10079.3833;9224.1125;9855.5714;10284.8259;10054.2903;9537.2492
32;9834.0554;10172.6745;10937.8345;9569.0879;9420.3239;9283.132;10580.4906;10412.1046;9847.755
32.5;9875.1288;10633.6282;10948.9553;9701.2224;10219.9686;9709.695;10146.0628;10288.7832;9836.5365
33;9582.0904;10709.0126;10209.2887;9979.1369;9476.8835;9651.9287;10543.9622;10411.6741;9817.507
33.5;10383.1559;10621.2557;10474.5665;9968.9773;10082.9621;9216.1506;10316.5498;10175.7089;9980.3921
34;10165.8396;10674.5046;10402.7038;9628.5598;9763.2221;9336.3098;10707.6452;10160.7186;10181.6382
34.5;10094.2675;10736.8901;10852.1841;9694.0146;10097.1738;9460.3606;10229.9994;10612.2083;9962.6616
35;9907.3153;10730.9457;10685.8984;9772.2756;10118.1721;9686.6732;10111.9906;9938.4355;10221.8119
35.5;9868.6638;10794.6682;10580.1995;9843.3677;9541.0182;9543.4506;10116.2996;9993.7288;9960.4026
36;10069.6168;10640.7088;10640.7765;9564.6896;9770.3591;9668.7866;9910.5267;10262.1881;9909.802
36.5;9894.1741;10464.4889;10531.1039;9810.9658;9699.5472;8965.6757;9731.2235;10117.9387;9608.6712
37;10115.0995;10484.6767;11146.1309;10336.4743;10014.786;9503.1338;10370.6576;10253.804;9831.4118
37.5;10178.4923;10451.8359;10473.9911;9972.8862;9911.8457;9555.1706;9694.2762;10269.2778;9525.6513
38;9728.0891;10697.3481;10735.7852;9766.4155;9784.6667;9399.3398;10210.0508;10161.3936;9474.7602
38.5;10330.5205;10603.7152;10589.6587;9697.2332;9904.6175;9774.6928;9794.4591;10389.6944;10098.699
39;9851.489;10545;10318.0219;9769.3065;9727.2302;9375.7196;9476.9052;10112.3408;9971.5736
39.5;10340.746;10221.5971;10450.8648;9664.974;9647.7951;10006.9482;9717.1019;10085.8015;10005.4381
40;10233.6427;10551.1084;10537.2131;9733.9564;9706.9314;9969.4383;9880.3474;9982.6647;9545.253
40.5;10130.2371;10435.3575;10408.5282;9974.7359;9604.1147;9678.4268;9706.3594;10234.8096;9918.1101
41;9698.9845;10905.5633;10578.037;9798.7381;9424.8057;9728.0078;9932.2867;9932.3072;9884.4237
41.5;10035.0358;10892.1746;10731.3019;9980.9864;10037.5791;9636.6865;9948.0851;9779.7619;10217.2848
42;10273.1356;10748.1374;10850.7655;9797.5011;9961.1222;9739.0952;9719.3107;9890.1542;10275.6189
42.5;10241.5065;10908.6675;10689.5628;10043.2724;9680.864;9830.1504;9691.4445;10024.264;10066.9823
43;9983.571;11350.5877;10948.7125;9518.377;10106.5213;9490.9213;10310.0895;10006.7197;9872.7239
43.5;9967.6271;10783.1298;11139.9968;9957.6365;9533.2047;9617.6544;9863.7913;10108.5361;9969.0404
44;10457.568;10496.4767;10548.3709;10076.3234;9796.1591;9923.8533;9537.7098;10010.0416;9686.8545
44.5;10326.4853;10506.5688;10768.6587;9862.5015;9800.9519;9076.7752;9661.4283;10186.9905;9665.6796
45;9999.3952;10274.7996;10626.6768;9868.9997;9802.8302;9543.1994;9510.4057;10108.2013;9703.7267
45.5;9926.6235;10717.1644;10527.8235;9960.5256;9903.175;9442.6509;9780.7238;9989.1067;9897.9247
46;9960.1365;10736.0167;10687.226;10324.9284;9937.8385;9268.5375;9724.5024;10141.7488;9721.8365
46.5;10094.2576;10466.5798;10519.0271;10158.8613;10002.3382;9488.145;9515.3435;9957.5554;9996.9779
47;10046.1049;10613.7202;10659.0034;9900.8024;9682.8551;9327.9869;9588.0801;9977.4193;9785.8736
47.5;9871.9879;10702.8855;10379.6311;10070.0276;10057.0999;9188.5488;9786.2878;9704.2209;9969.1312
48;9933.6046;10414.3528;10248.4638;10263.5139;10151.9788;9276.8436;9666.7505;10257.1617;10083.2632
48.5;10060.7884;10757.4893;10411.5112;9960.1621;9668.6622;9256.0469;9760.7459;10161.6901;10317.018
49;10074.4284;10284.434;10362.1317;10016.9361;9721.1397;9524.646;9431.4582;10012.1386;9804.9204
49.5;9688.3906;10490.867;10797.6508;9856.2846;9935.3704;9212.8954;9488.841;9952.4307;9680.1171
50;9664.3146;10522.0971;10611.2713;9566.4628;9733.3318;9440.8321;9083.6343;9870.1615;9915.511
50.5;9951.4206;10783.0765;10603.5228;10038.855;9668.2868;9523.9253;9446.1072;10017.4375;9933.7706
51;10146.9135;10134.3875;10079.281;9843.8037;9762.9895;9286.8916;9689.7442;10136.0972;9888.0209
51.5;10230.8794;10539.8853;10626.8182;9402.4117;9816.2903;9625.5597;9747.1296;10244.2016;9818.5556
52;9659.9384;10034.2556;10977.0868;9807.5546;9630.1725;9273.9676;9501.9225;10490.4033;9594.8368
52.5;9806.3596;10422.1627;10591.3419;9283.6522;9635.1983;9579.6425;9648.054;10239.5923;9807.2451
53;10239.5475;10505.222;10587.3242;9560.4597;10141.048;9286.4333;9700.5673;9975.1907;9698.1933
53.5;9788.0466;10435.1329;10832.1217;9558.4756;9776.4398;9784.8374;9434.5398;10513.0974;10031.1179
54;9794.3176;10400.8562;10840.9741;9930.7233;9563.6833;9373.1119;9447.4892;10394.7078;9639.8606
54.5;9875.8687;10686.9747;10844.8345;9813.8372;9727.3236;9755.9461;9359.6;10148.5612;10009.5111
55;9994.1177;10604.7283;10898.8802;9768.7974;9776.5279;9579.3481;9556.5704;10347.8279;9842.0691
55.5;10334.5326;10633.9433;11026.7808;9747.6164;9429.6584;9756.637;9851.7703;10010.5097;9999.8991
56;10396.8642;10957.1355;10909.0315;9960.7692;9418.5033;9621.6473;9693.8244;10227.7889;10102.2746
56.5;10581.1776;10583.8456;11090.9274;9807.917;9868.0182;9776.4465;9501.5563;10085.1613;10048.0207
57;9837.0714;10603.2947;10707.9257;9641.9397;9747.1172;9109.782;9562.591;9664.069;9968.3935
57.5;9885.1281;10700.7939;10838.106;9967.1854;10158.1425;9213.1455;9841.0121;10005.2466;9870.924
58;10044.0465;10977.444;10846.8971;9613.3495;10124.9354;9213.5904;9660.4967;9796.9825;9875.0663
58.5;9679.3056;11085.9586;10616.8901;9850.9832;10064.3628;9082.1613;9577.5016;10425.0892;10101.1992
59;9950.4562;10599.2135;11039.1372;9931.0397;9827.364;9710.4201;9701.7627;10332.7723;10043.0183
59.5;9846.7689;10662.6338;10162.0779;9779.4688;9912.7967;9585.31;9455.9303;10185.768;10194.2167
60;10077.9348;10282.4872;10986.7069;9789.3326;9796.1559;9651.3964;9464.7543;10114.25;9684.2814
60.5;9844.7097;10514.5705;10392.5832;10059.34;9909.6486;9044.8866;9812.4593;10200.32;10035.0541
61;10029.8084;10881.4774;10402.4291;9510.8656;10001.9872;9548.3444;9804.4073;10080.0067;10006.9397
61.5;9768.278;10867.8634;10435.922;9467.095;9883.0968;9653.3002;9794.6062;10661.6789;9988.4686
62;9912.5663;10494.4884;10513.1091;9548.5353;9666.5107;9754.1886;9960.7234;10090.3633;9986.7233
62.5;9866.5327;10749.7286;10374.3408;9665.5335;9756.3937;9407.0553;9874.6389;9779.3472;10116.7534
63;9904.8918;10835.0804;10530.8381;9777.6662;9687.2754;9636.0456;9661.1412;9758.9285;10181.4167
63.5;10073.5936;10683.8823;10592.759;9685.1678;9789.9062;9845.5514;9932.6224;10311.8555;10490.1171
64;9915.9944;10794.7688;10977.0044;9542.4068;9806.8752;9439.3851;9817.8495;10115.4098;10352.024
64.5;9906.3196;11040.0253;10442.2045;9795.6124;9968.5825;9362.677;9822.6319;9755.5555;10502.7118
65;9824.0132;10880.2558;10874.6714;9751.2454;9637.7362;9225.0465;9675.8167;10400.4689;9969.6257
65.5;9780.7139;10671.9233;10690.0359;9850.6879;10100.8685;9610.4754;9491.6477;10198.0886;9896.6004
66;10075.9706;10409.3165;11218.4676;9815.0439;9944.7859;9805.2323;9581.3503;9995.8928;10149.4043
66.5;9768.2263;10518.1946;11053.3518;9694.2791;9784.3265;9558.5026;9600.8724;10195.274;9998.321
67;9948.5195;10866.89;11083.5653;9875.8323;9896.1211;9617.559;9843.4087;9809.5891;9631.3725
67.5;9745.36;10535.9464;11086.8799;10037.9125;10089.2076;9896.9465;9329.7246;9907.2917;10146.9455
68;10124.3746;10558.3881;11010.8555;9821.9011;9785.3077;9281.0182;9591.2919;10205.8895;10369.9053
68.5;9732.2773;10565.4914;10966.0087;9836.806;10199.5772;9433.6332;9288.5644;9895.3287;10376.5231
69;9908.9162;10548.1424;11062.3528;9875.4522;9858.6124;9193.008;9263.8356;9967.8553;9757.0437
69.5;10264.1713;10684.9235;11107.7954;9887.2617;9726.5866;9426.6111;9157.6756;10057.8105;9641.2536
70;10359.5026;10761.3072;10980.7759;10388.7049;10236.671;9286.8829;9827.5655;10466.3693;9912.9081
70.5;10074.0805;10657.0659;10896.3722;10308.2996;9782.4165;9296.5093;9441.2925;10350.2532;10018.4093
71;9879.2182;10389.9775;10800.5394;9766.0382;9962.9376;9396.6984;9613.3745;10386.6159;10233.2361
71.5;9693.9977;10681.1737;10512.0506;9954.8739;10324.2677;9251.5457;9469.3204;10322.0831;10128.4049
72;10016.3905;10505.8086;10667.5152;9888.0806;10265.8447;9320.5298;9710.6485;10204.2833;10082.7265
72.5;10471.498;10432.0386;10603.7559;9666.319;10273.025;9364.2128;9778.6125;10071.6955;9919.9762
