Time (ns);[3Fe-4S]+ exp1;[3Fe-4S]+ exp2;[3Fe-4S]+ exp3;[4Fe-4S]2+ exp1;[4Fe-4S]2+ exp2;[4Fe-4S]2+ exp3;[4Fe-4S]2+ exp4;[4Fe-4S]2+ exp5;[4Fe-4S]2+ exp6
230;9933.0313;10558.926;10037.4112;9973.7025;10030.6496;9422.9206;9444.1546;10077.8058;9975.7869
230.5;9998.1371;10375.8492;9957.1484;10142.6791;9654.1988;9381.2137;9087.0439;10327.6931;9919.8028
231;9996.5038;10747.7115;9960.3578;9776.4445;9573.4007;9166.3998;9172.1157;10468.4257;9859.4472
231.5;10067.3001;10482.2775;10033.3812;10153.7622;9656.5885;9312.6296;9350.9364;10142.8102;9753.0561
232;9988.8627;10239.5184;9839.7028;9743.4951;9857.9393;9475.5461;9680.5762;10643.0671;9677.6363
232.5;10161.0635;10985.7826;9966.4038;9940.7703;9451.5514;9554.1961;9395.2297;10431.0806;9535.1752
233;9895.2386;10798.0916;10100.2182;10081.3754;9556.1334;9257.9409;9339.6854;10100.4811;9582.7833
233.5;10037.029;10795.937;9849.9179;9904.5838;9597.5648;9177.6011;9168.0766;10116.43;9639.9943
234;9942.4178;10387.5429;10078.8881;9713.4301;9429.4125;8977.4031;9355.0577;10164.4692;9911.4855
234.5;10263.9196;10911.9178;10215.0752;10081.8242;9764.0713;9002.7082;9552.9081;9950.8604;9989.0018
235;9944.8187;10556.4373;10539.9003;9812.687;9581.9898;9278.2683;9369.3385;10101.8824;10308.6959
235.5;10425.6935;11010.3886;10238.7729;9800.9395;9898.2895;9203.7148;9246.3227;10206.2543;10219.7751
236;10008.8721;10896.5951;10346.7695;10044.235;9898.4107;9118.9238;9061.8815;10315.4847;10056.4108
236.5;9824.7864;10666.6299;10386.1607;9878.662;9696.4705;9412.1145;9426.9614;10117.2118;9953.9164
237;10106.357;10479.4302;9958.1443;9985.6848;9987.9456;9345.8652;9518.3764;10065.7062;9897.3533
237.5;10168.183;11078.9848;10245.5192;10671.4106;9917.4205;9579.8348;9648.93;10498.3952;9965.018
238;9914.1352;10840.7083;10238.3409;9818.3706;10234.0422;9522.3779;9294.6868;9988.4155;10164.5202
238.5;10391.3671;10841.1723;10089.1607;9988.8171;10033.0336;9353.9077;9411.169;9819.9879;9670.7811
239;10026.6575;10227.926;10002.1959;10198.2798;9908.2255;9666.3023;9384.6243;10000.3375;10175.226
239.5;10113.1945;10502.3226;10099.0661;10026.7285;9933.5404;9187.4246;9012.101;10266.254;9592.2036
240;10239.241;10824.5353;10570.926;10124.6339;9601.2883;9258.1915;9547.8996;10590.0412;10085.3158
240.5;9791.171;10976.7962;10420.3343;9657.4104;9697.9127;9130.5721;9232.9333;10099.385;9856.5424
241;9707.6523;10864.0297;10839.9777;10024.9935;9617.6938;9134.0054;9291.5027;10472.9191;10268.2539
241.5;10315.1502;10735.3747;10609.5241;10048.3507;9712.8663;9158.1171;9301.8583;9831.6701;10016.7135
242;9968.0465;11022.398;10364.6892;9733.2745;9988.7741;9171.0842;10175.6523;10209.6568;9561.2974
242.5;10399.6886;10899.4493;10295.4847;10099.954;9929.0274;9306.034;9518.79;10574.995;10089.8928
243;9951.4171;10946.4188;10323.288;10385.0811;9781.9841;9499.7332;9873.6611;10382.7584;9917.3246
243.5;9662.6249;10810.0917;10217.9175;9869.6203;9472.2155;9166.2112;9683.082;10239.116;9699.2223
244;10325.0876;10799.8597;10725.8474;9901.9136;10113.7632;9186.9448;9479.3532;9974.6688;9700.1423
244.5;9760.1754;10730.5157;10336.7796;9792.9713;9707.1654;9667.4647;9832.8372;9593.2896;10003.14
245;9759.3758;10511.0668;10738.8073;10181.9287;9831.9773;9415.953;9561.2545;10359.0797;9888.0635
245.5;9659.9716;10864.1831;10368.2018;10355.8316;9699.0158;9389.816;9671.2395;10593.2193;9948.5894
246;9891.3372;10959.1414;10554.2961;10178.736;9497.6468;9072.2744;9597.0882;10296.0104;9739.1985
246.5;10053.1825;10531.5654;10453.018;9683.0431;9957.7426;9728.7562;9485.8297;10162.2197;9905.3298
247;10000.4807;10831.9351;10718.6099;9467.4955;10065.5526;9105.7625;9582.2382;10127.9389;10053.1693
247.5;9874.2604;10865.1912;10408.5979;9362.2714;9974.0059;9290.9314;9652.3914;10219.9007;9811.017
248;9473.1364;10714.6085;10368.5606;10090.1757;9826.8968;9213.4409;9641.4471;10026.5189;9681.8578
248.5;10388.074;11018.1548;10204.1772;10021.7948;9868.0478;9344.1162;9649.8556;10307.8994;9970.4354
249;9796.9673;10448.1714;10463.2562;10179.2332;9776.9026;9547.7149;9470.0718;10154.0515;9813.0433
249.5;10187.0486;10572.3394;10164.9682;10091.7705;9718.0482;9343.5046;9764.1893;10071.6503;9744.7457
250;10422.7674;10534.6624;10009.0271;10087.6779;10406.271;9044.5173;9434.4225;10098.6055;9805.9634
250.5;10242.5353;10687.9683;10424.3032;9783.2091;10346.6839;9154.7092;9574.8961;10287.313;9754.6449
251;10216.1217;10801.59;10101.4915;9760.5084;9634.3159;9256.2788;9480.2452;10043.5429;10051.1993
251.5;10080.8331;10649.7016;10383.398;9852.4455;10005.3066;9095.8687;9846.7034;10245.821;10074.8839
252;10111.8766;10577.5897;10023.4371;10089.3277;10057.0516;9503.6713;9266.5535;10066.8606;9788.1562
252.5;9767.6377;10962.5569;10036.8405;9986.1616;10033.8366;9319.1184;9902.218;10344.7454;10040.3069
253;9841.2576;10418.9265;9856.1415;10139.9726;9966.4422;9423.7131;9456.5022;10144.3675;10593.5084
253.5;10052.1036;11214.1023;10087.7396;10130.7714;9385.8814;9217.8304;9905.0443;10531.65;10027.5432
254;9930.1138;10816.2105;10529.1995;9651.4974;9661.4972;9074.8367;9776.1122;10179.701;10208.389
254.5;9981.257;10697.8522;9975.3291;10127.8241;9997.8522;9626.4509;9702.9619;10763.0473;10504.3337
255;9942.698;10947.2807;10496.8011;10413.973;9915.2563;9536.1077;9308.25;10629.3577;9820.0818
255.5;10203.6761;10839.2124;10585.7061;10419.5656;9993.882;9429.2809;9394.305;10305.8602;10002.1775
256;10278.7731;10663.454;10088.7655;10052.5152;9586.9622;9644.9627;9648.4636;10350.8275;10434.6799
256.5;10493.6591;10528.9513;10121.082;10179.3131;10278.9639;9908.3987;9373.2463;10594.7276;10057.5453
257;10318.1927;10589.5063;10582.6648;10019.9225;10074.1292;9447.958;9946.8854;10450.8633;10220.2637
257.5;10262.2663;10772.8801;9995.553;10005.2819;10222.7612;9368.5837;9671.4529;10466.8518;9903.9203
258;10112.2776;10513.2088;10380.822;9851.7542;9559.4784;9606.8404;9744.6797;10235.5658;9848.8022
258.5;9953.2009;10668.3058;10348.9259;10102.6505;9535.3072;9510.9399;9815.2744;10373.8141;9971.9285
259;10240.0284;10976.5356;10215.2827;9789.9346;10036.0191;9217.8746;9763.1186;10377.2752;10053.2516
259.5;10165.9803;11191.3264;10241.8383;10030.9669;9893.927;9344.5839;9991.7008;10315.5605;10177.5161
260;10212.4981;10985.6259;10604.6622;10022.7175;9608.9931;9745.582;10112.5399;10319.5045;9795.501
260.5;9932.6791;10862.7074;10542.2218;9762.4245;9900.4994;9392.4392;9894.5174;10492.1479;10149.7491
261;10091.7812;11221.1104;10326.7689;10103.8493;9825.7992;9633.5723;9771.6308;10358.2378;9935.8759
261.5;9852.9689;11391.3741;10346.17;9964.9213;9886.9267;9356.9765;9713.2052;9969.3621;10182.6589
262;10223.7649;11342.1959;10799.9682;10062.0534;9906.0958;9323.2225;10031.1268;10172.7967;10084.0293
262.5;9997.2263;10824.2658;10481.3301;10258.8897;10320.6218;9534.4206;9954.5102;9883.8672;10206.4486
263;10001.5845;11072.9003;10698.4883;9899.6835;10141.302;9343.6032;10054.1378;10297.025;10015.6344
263.5;10095.9434;10681.3417;10415.0843;10004.5095;10245.5186;9735.5959;9607.6758;10496.8471;9714.1359
264;10301.5281;10921.7334;10581.0813;10166.2526;10136.5441;9183.0611;9833.5691;10198.7838;9785.073
264.5;10016.8839;10845.816;10390.8209;9868.0733;9916.3186;9233.9217;10058.2775;10358.906;10223.5853
265;9902.883;10994.7397;10402.0099;10081.6958;10202.7895;9385.0908;9848.3321;10598.7948;10311.1049
265.5;10344.7614;11193.4774;10419.7256;10153.0147;9990.9239;9609.4815;9971.0484;10423.5536;9954.4624
266;10301.3519;10823.8271;10548.2658;9985.9155;9670.4184;9423.2063;9755.2156;10228.0051;10241.0456
266.5;10065.7682;10896.8687;10502.2345;9969.5894;9987.7091;9417.0985;10219.8669;10219.2965;10622.9733
267;9637.2981;10904.788;10284.4202;10324.9206;9962.5841;9572.6613;10071.3331;10282.3644;10495.3984
267.5;9680.0155;11166.4151;10254.0526;10160.6745;9974.0095;9582.2248;10027.3529;10234.6817;10232.6455
268;9877.3936;10910.8567;10204.9022;9961.9918;9683.0885;9386.3155;10181.1512;10509.232;10319.9584
268.5;10171.2651;11105.4002;10434.7531;10030.2447;9653.0807;9568.6196;10029.7644;10537.4404;10182.8916
269;10303.0128;10974.5876;10505.6406;10355.669;9797.4478;9553.4272;10021.5223;10454.73;10224.1105
269.5;10003.0492;10956.7249;10513.9661;10394.9741;9884.5205;9542.619;9967.8023;10045.0773;10256.7075
270;10162.9225;11213.8922;10571.5192;10269.6028;9717.3952;9807.0278;9893.1335;10097.9625;9919.2251
270.5;9939.0932;11035.054;10630.5197;10138.8705;10171.7385;9263.9383;9633.0646;9973.1254;10080.2859
271;10025.8222;11097.8614;10707.0232;9842.5145;9739.0198;9450.15;9999.9262;10029.7417;10435.5157
271.5;9781.6881;10745.8411;10317.1238;9981.6558;9766.7044;9264.9733;10274.6478;10316.5061;10141.9017
272;9645.1673;11105.7472;10564.4714;9934.6014;10159.4766;9823.6387;9938.4717;10116.2501;10340.0142
272.5;10160.1276;10860.0316;10232.2523;9946.8448;10034.5796;9093.3466;10219.6158;10602.6192;9763.6991
273;10029.5393;11039.069;10196.4224;10054.8839;10061.8431;9268.3146;10262.9046;10256.3765;10515.791
273.5;9942.0091;11139.3894;10437.9634;10026.9909;10375.3241;9142.613;9998.3953;10387.2832;10249.3202
274;10013.8153;11272.3299;10163.4917;10007.3107;10167.3926;9724.8239;10038.4585;10374.5597;10214.3001
274.5;10755.4028;10775.1058;10318.5023;9698.2729;9831.5009;9950.2267;10175.5683;10184.0855;9996.4132
275;9793.65;10974.8358;10618.6835;10111.8623;9864.2952;9375.7402;9815.7713;10395.632;10253.1375
275.5;10084.133;11106.4077;10539.2814;9990.1765;10287.043;9152.1632;10174.0024;10235.1145;10293.2525
276;10005.62;10735.3609;10407.9581;9920.0125;10051.1394;9268.1852;9967.1829;10482.5216;10048.1588
276.5;9837.8943;10888.8997;10288.6678;9884.3484;9947.2484;9475.3765;10158.5407;10391.9253;10064.7334
277;10176.7537;10865.2562;10451.1617;10285.3704;9657.5005;9261.591;10017.1638;10423.7524;10315.2093
277.5;10589.7899;10954.9761;10535.0227;9870.5445;10038.6821;9390.0444;10147.9564;10476.9235;9840.6582
278;10353.4594;11162.4003;10425.3333;9944.8385;10055.7498;9346.9443;10059.7189;10354.6634;10023.8574
278.5;10193.3589;10995.4854;10411.5823;9941.4792;9694.6062;9645.7912;10029.0509;9999.2288;10077.5218
279;10339.1299;11264.5655;10626.1139;10396.5976;10334.091;9730.3822;9951.4556;10346.4759;10012.356
279.5;10089.5415;10940.4118;10676.9694;9785.9107;10365.8439;9431.2291;10285.0758;10055.3782;9684.102
280;10404.0278;11194.1768;10419.0841;10359.4378;10093.7165;9165.6759;9741.0897;10087.8623;9642.7721
280.5;9857.1879;11212.1927;10076.4099;10136.5948;10470.5806;9194.2301;9876.7204;10413.2155;10008.0056
281;9881.8611;11304.9832;10218.2004;9947.3763;10027.0841;9439.1846;9762.221;10213.0194;9874.9734
281.5;10204.6051;11536.4563;10147.3185;9905.1457;9788.7912;9683.1618;9820.7306;9981.6749;9895.4896
282;10175.9847;11161.8036;10182.5491;9657.5636;10325.2012;9122.7291;9860.7533;10049.3205;9946.2678
282.5;9957.4006;11331.1507;10421.7885;9458.084;9809.868;9624.4286;9780.6338;10369.6324;9848.4158
283;10133.4594;11109.9208;10114.3332;9647.2053;9888.6372;9499.4858;9654.8248;10251.6823;9706.9785
283.5;10040.8807;11200.9253;10414.8475;10336.952;10024.602;9282.3491;9758.721;10111.3083;10002.2571
284;10144.3622;10797.0395;10289.6583;9856.2741;10089.4867;9295.8646;10103.4414;9884.757;10023.7392
284.5;10279.4254;10907.2075;10378.4807;10147.077;10248.4834;9396.9144;10087.9247;10229.0182;9756.9581
285;9894.8181;11396.208;10653.8924;9908.7325;10260.2992;9144.6892;9614.9951;10244.4843;10000.0014
285.5;9956.6993;11369.3872;10677.8329;9976.6749;9806.5107;9259.991;9840.2944;10309.6382;9648.5351
286;10119.574;10891.311;10161.434;10124.2126;9693.5719;9289.5023;10383.6783;10155.9459;10125.2298
286.5;10212.6073;11028.7669;10412.9104;9899.3003;9839.2103;9782.7006;10157.4486;10535.9029;9665.6915
287;10016.0198;10858.5789;10465.4292;10012.3895;9470.0241;9939.3825;10310.3287;10571.2033;9941.8723
287.5;10525.8664;11237.2666;10622.439;9817.5905;9577.7574;9431.1215;10157.7634;10258.3579;9742.1245
288;9863.6626;10940.5183;10595.5262;10264.9159;9713.8914;9668.6475;9913.0069;10200.4576;10167.4317
288.5;9847.2517;11117.6271;10107.1549;9691.4677;9992.7596;9855.4144;10164.5287;10362.4245;10190.6888
289;9843.2043;10979.6239;10013.2128;9816.3446;9859.6399;9655.8916;9924.8;10437.8204;10058.9749
289.5;10042.9087;10879.8044;10516.6904;9856.8333;9780.4679;9422.0023;9682.1787;10400.3847;10327.6273
290;10101.3213;11095.8844;10427.9604;10267.239;9935.1339;9477.7414;9793.2717;10510.5772;10289.5982
290.5;10008.6615;10957.0956;10272.1307;10334.46;9604.8325;9967.914;10043.8473;10214.8575;10211.2063
291;9984.2923;10870.5805;10709.2233;10680.8893;9931.8973;9680.5724;9908.1968;10304.145;10397.4064
291.5;9900.5471;10999.1384;10621.7566;10261.0794;9883.9987;9583.2641;9737.8147;10237.4278;10118.839
292;10299.6287;11209.8465;10690.5054;10456.39;9895.5587;9891.7274;9346.7987;10197.7387;10058.3895
292.5;10105.8308;11012.6261;10615.3668;10120.8858;9889.5307;9733.9582;9578.6876;10527.6718;10332.2401
293;9704.9343;11109.7309;10562.445;10191.1204;9993.6866;9621.1195;10096.6038;9996.9545;9863.346
293.5;9991.7803;11064.4106;10577.657;10036.4224;10064.8093;9820.5255;9992.4377;10613.463;9838.4496
294;9792.4883;10894.5138;10554.2556;9952.5842;10375.1363;9879.0342;9919.3177;10406.0663;9614.3664
294.5;10057.9693;11086.6563;10292.3648;10430.3184;10339.9271;9393.6177;9530.3324;10227.0205;9920.3858
295;10183.6775;11127.9987;9933.5836;10356.1271;9660.243;9412.8527;9930.7718;10123.7819;10295.962
295.5;9800.3758;11064.9267;10445.6583;10280.3687;9956.7541;9671.7758;9917.1649;10142.0158;10043.1504
296;10030.7391;11139.7265;10612.8753;10363.3311;9966.0117;9577.7398;9666.6646;10482.7587;9816.0745
296.5;10303.0783;10610.425;10958.223;10150.2884;10138.7703;9837.5317;9561.1547;10295.9884;10200.1481
297;10049.6954;10889.8405;10635.8118;10348.5935;9892.769;9838.0578;9950.9726;9727.1087;10434.7319
297.5;10130.8279;11048.523;10430.8287;10109.7913;9691.0497;9389.4245;9688.7142;10263.2759;9949.8413
298;10318.4838;10844.7836;10251.7089;10429.8598;9884.3816;9546.6546;9758.2971;10419.5366;10318.7613
298.5;9679.3122;11115.3524;10405.3234;10390.0229;9837.2177;9647.1192;9799.61;10447.0928;9862.0019
299;9903.8011;11175.7985;10426.3816;10361.4656;9863.6609;9558.2621;9880.5599;9932.9426;10353.7797
299.5;10021.7517;10972.108;10492.4899;10338.0834;9875.879;9801.2205;9858.6782;10552.2531;9861.7986
300;10108.1186;11098.3793;10815.8442;10309.1527;10162.8446;9792.9855;10009.1369;10125.8108;9917.2208
300.5;10437.1752;11069.4415;10349.0458;10029.6539;10249.4351;9934.0212;9823.2799;10625.9801;9943.0246
301;10151.3655;10930.5035;10581.0668;9588.3813;10101.2531;9743.1431;9902.8369;10543.8603;10445.8522
301.5;9648.267;10808.133;10395.7299;10341.2992;9728.3584;9509.5367;10011.0494;10220.3523;10439.8461
302;10134.8216;10875.5579;10406.5225;9878.8853;9696.7359;9501.1365;9874.1822;10679.2949;10074.9208
302.5;10050.3162;10666.225;10376.7001;10040.6363;9735.8727;9661.5765;9839.5874;10228.0567;10394.9123
303;10386.6784;10685.7079;10064.3254;9856.5446;9999.2269;9481.7823;9551.4622;10475.8955;10158.9265
303.5;10046.1155;10871.7124;9942.4034;9926.0902;9782.8709;9743.1659;9898.4174;10733.9677;10037.2978
304;10080.2422;10926.631;10284.6274;10183.1102;9830.4333;9573.3892;9676.5493;10686.0248;10386.1696
304.5;10218.1669;10557.6399;10069.8683;10036.3407;9967.3697;9584.8243;9815.1657;10869.9771;10220.8113
305;9913.6557;10895.6776;10327.5585;9916.9974;9923.5261;9778.3664;9765.7594;10756.7413;10100.054
305.5;10088.0814;11038.8753;10420.1893;9862.6964;10369.524;9510.9453;10084.4439;9992.4429;10359.9943
306;10270.1956;11463.8569;10367.6131;9961.6301;10124.0837;9633.9537;9803.6562;10337.222;10651.7591
306.5;9554.5922;11040.4557;10282.4266;10271.2459;10054.0058;9830.2258;9832.1608;9886.9857;10654.3387
307;10195.0446;10854.4171;10580.756;9832.3788;9865.6513;9644.9866;9679.1843;10598.1781;10565.5876
307.5;9950.8607;11000.5121;10367.5646;9904.9901;9931.6306;9491.4203;9667.0719;10620.9145;10622.475
308;10335.5495;10736.4941;10614.2222;10318.7013;9914.923;9577.328;9733.5858;10624.7476;10475.8253
308.5;10136.938;10969.0278;10374.2885;10052.3794;9827.5895;9451.4111;9562.2538;10430.4234;10096.1878
309;10235.1833;10882.131;10642.4848;9726.1134;10063.5541;9745.7353;9624.174;10437.0755;10444.4773
309.5;10370.235;10906.9577;10216.8324;10046.1921;9647.4487;9807.1842;9809.0884;10225.8429;10389.6357
310;10179.9587;10843.656;10420.5484;9956.348;10051.4691;9945.5865;9771.1691;10511.4181;10207.4247
310.5;10004.3409;10625.6742;10485.8413;10244.3411;10037.1497;9736.6221;10009.5576;10281.856;10111.4458
311;9851.4549;10978.5592;9888.0344;9896.3688;9745.586;9763.6302;9643.3502;10399.7956;10112.8033
311.5;10160.2715;11504.8158;10605.1361;9723.5423;9989.1169;9733.2347;10107.2695;10583.1484;10127.9485
312;10100.4478;10886.4496;10641.443;10177.7846;10132.6195;9969.4801;9603.8841;10808.0118;10217.2359
312.5;9851.0911;11260.3611;10261.846;9726.1322;9668.5742;9810.9299;10244.1364;10643.0409;10458.5453
313;9795.4497;10852.4654;10416.0484;9852.4452;10149.9699;9655.8387;9711.9774;10593.6132;10105.0114
313.5;10189.4709;10820.1811;10413.4911;9841.4685;9945.9788;9797.1101;10213.4625;10734.2332;10213.2198
314;10086.2781;10723.8936;11033.3142;10126.6114;10246.2207;9890.5012;9593.3628;10530.2923;9779.4834
314.5;10288.7861;11123.2914;10363.5277;10035.2393;9648.7105;9862.4562;9677.6565;10577.4404;9448.9502
315;9923.2161;10924.0307;10563.8801;9948.8911;10040.8793;9791.6297;9802.8867;9988.4692;10057.6871
315.5;10273.7309;10739.4578;10372.3329;9643.8207;10076.033;10053.5936;9936.8599;10817.6108;10017.9664
316;10424.5319;11023.0828;10172.0467;9769.21;9864.034;10059.6017;9690.1967;10787.0038;9914.8525
316.5;9807.6923;11027.8395;10761.069;10161.5262;9844.8064;10176.5656;9553.0585;10733.4245;9916.5838
317;10032.1014;11334.5654;10794.2491;9851.5438;9892.9332;10176.2743;9866.2751;10556.7055;9737.8156
317.5;10123.3715;11098.9174;10858.2528;10301.8553;9936.5524;10582.2426;9791.1157;10354.1553;9620.4483
318;9994.4304;11138.4266;10691.054;10290.4451;10410.6383;10344.3299;9394.5661;10508.7882;10058.5753
318.5;10101.2832;11172.5908;10397.688;10253.0261;10188.9671;10296.6323;9463.3225;10658.2189;9829.5255
319;10156.3063;10919.7421;10534.7923;9989.8986;10199.3313;10753.3752;9654.2089;10717.6979;10025.4466
319.5;10460.4114;11164.787;10634.4242;9938.9157;10119.3097;10435.2105;9793.6462;10969.8146;10389.2149
320;10092.1191;11310.6072;10329.1096;10054.8298;9997.8633;10483.6338;9708.3591;10980.1675;9717.3943
320.5;10023.9306;11318.765;10295.996;10409.1885;9873.7825;10286.8654;9908.1171;10949.7236;9851.5078
321;9890.3202;10855.6844;10612.6204;9999.647;10090.3893;10404.3438;10190.2281;10647.5224;10072.564
321.5;10417.2715;11190.2357;10789.131;10056.2078;10425.9747;10489.3336;9754.7395;10615.1171;10001.6336
322;10206.1258;10964.7163;10740.0138;10064.9848;10040.2557;10406.5607;10057.7162;10412.0313;10043.7672
322.5;10017.8229;10756.2996;10350.7158;9862.4534;10288.2037;10244.2185;9835.8926;10631.976;10178.6429
323;10413.967;11200.2818;10422.8614;10209.9078;10345.5588;10337.7918;9761.4364;10810.7477;10116.0288
323.5;10230.4891;10978.303;10272.217;9872.958;10169.9839;10369.3895;9503.8519;10694.2179;9518.3491
324;10196.881;10956.4149;10502.041;9967.494;10124.2125;10506.146;9721.9515;10696.7613;10014.8001
324.5;10362.3317;11153.4967;10406.2035;9551.4445;10289.8182;10157.7824;9838.9037;10612.1571;9953.0612
325;10201.5459;10983.9373;10475.976;9670.6499;9933.1815;10579.063;9788.2042;10719.1614;9695.603
325.5;10378.4575;11081.0044;9947.2555;10014.092;10107.17;10087.2877;9626.1625;10430.4797;9785.7181
326;9974.3535;10902.6555;10073.0193;9866.8157;9607.8973;10605.0255;9839.9418;10264.7603;9953.8675
326.5;10067.1841;10969.0265;10304.731;9833.5402;9996.4116;10394.4539;9814.5362;10596.1954;9755.115
327;10050.453;10785.6265;9882.2406;9985.1698;9548.6541;10353.4153;9609.7318;9991.7939;9790.2902
327.5;9856.6664;11420.6047;10613.9124;10046.8991;9867.7169;10094.6019;9686.4602;10137.3879;10060.7149
328;10204.6189;11400.6642;10325.9198;10013.4064;10119.1256;10367.8011;9818.5386;9994.434;9956.5954
328.5;10363.3201;11164.8267;10617.0734;10302.4463;10182.8779;10121.7644;9601.8444;10223.0275;10125.9081
329;10068.5697;11104.1048;10451.9259;10406.6672;10163.6346;10382.1787;9413.658;10218.174;9860.7552
329.5;10017.0994;11116.4762;10167.8266;10219.6628;10193.0185;10350.1697;9635.8351;10160.9554;10218.1971
330;10069.3548;11017.9038;10612.5486;10114.4744;9898.1517;10476.5983;9980.4024;10186.6961;9893.2375
330.5;10321.1576;11123.0255;10294.2662;9844.8682;10390.5771;10468.4422;9566.4288;10330.3321;9834.9248
331;10192.1783;10740.0329;10670.4572;10085.4081;10443.5321;10435.0496;9907.0628;10336.7866;9900.7596
331.5;10285.2073;10951.9358;10301.338;9789.1116;10281.1296;10215.0491;9899.6919;10694.2306;9973.5338
332;10483.0851;11080.6116;10608.3683;9994.9098;10370.8045;10252.1664;9862.7423;10682.277;10194.1441
332.5;10618.7674;10933.2055;10020.7182;9765.4962;10213.7681;10490.0971;9910.4384;10338.7215;10559.3206
333;10142.8376;10732.7628;10675.2344;9809.2505;10028.5927;10270.1766;9937.0387;10567.3555;10026.3194
333.5;10343.0425;10910.2357;10487.9761;9958.2521;9758.8677;10208.1292;9647.3921;10725.1001;10331.6824
334;10099.5171;10918.5435;10311.21;10049.2188;9882.4596;10224.5186;9719.4434;10342.6756;10130.5296
334.5;10245.2145;10901.4951;10473.8855;10251.2656;10261.71;10013.0967;9729.8662;10807.6431;10263.2353
335;10198.244;11008.0277;10290.7682;10016.4732;9728.5026;10524.4402;9630.1107;10249.4135;9983.9507
335.5;10320.9438;11179.3998;10779.9437;9732.5968;9804.0886;10374.8998;9501.5716;10612.1416;10429.7471
336;10143.7992;10949.2983;10332.4025;9999.0212;9837.5062;10131.1822;9836.7341;10700.7647;10358.4217
336.5;10547.0434;10855.9446;10848.0039;10119.2329;10023.2384;10272.453;9664.5497;10697.2981;9971.3559
337;10243.263;11047.3007;10656.2744;9863.2801;9998.6663;10125.6602;10088.436;10608.8216;9780.5204
337.5;10434.0666;10863.8284;10198.9927;10052.4299;9941.2666;9969.5283;9877.1167;10655.4077;9871.5958
338;10108.3687;11236.76;10348.7849;10061.2687;10041.2361;10039.0971;10071.164;10490.7653;10160.2812
338.5;10622.2988;11283.3809;10570.418;9932.3361;10034.1497;10224.3434;10167.4607;10601.471;10045.1093
339;10247.9743;11024.3611;10376.0755;10081.7246;9784.6387;10625.9606;9962.6423;10296.2081;10253.4515
339.5;10061.789;11049.9137;10383.8658;10022.5742;9736.5122;10245.8363;9882.5749;10475.3536;9730.5748
340;9716.2389;11527.0438;10257.5832;10142.8188;9766.161;10305.5243;9935.9041;10690.0121;9813.706
340.5;10255.6455;10863.0148;10645.9677;10138.7347;9732.5793;10052.3093;9984.0399;10320.8258;9935.9407
341;10228.4994;11324.3075;10605.7845;10104.0971;10303.6039;10171.0985;10125.5738;10639.0486;9957.091
341.5;9902.0791;11362.6923;10167.1865;10157.7703;9965.7898;10229.6435;10235.1463;10841.3898;9821.008
342;10026.8377;11492.9759;10447.3046;10378.2885;10034.5652;10228.5043;10294.0043;10638.7455;9575.9244
342.5;10030.8309;10876.3333;10166.8088;10247.2775;10076.4685;9837.2803;10008.4136;10621.527;9614.7504
343;9691.836;11201.6266;10156.3334;10480.2247;10052.3065;10057.9833;10450.0121;10427.865;9787.89
343.5;10097.7758;11045.8293;9986.6729;10230.7357;10057.6279;10440.4678;10075.2548;10437.136;9888.7853
344;9946.9522;10722.5317;10186.0886;10209.158;10133.09;10337.3491;9836.3451;10739.7409;9997.6653
344.5;10242.8578;10955.6968;10226.1746;10196.8846;9977.1316;10109.3425;9793.2524;10962.7765;10350.6139
345;9904.7105;10956.4382;10220.9326;9755.8467;10203.4779;10220.3761;10255.3079;10539.8257;9928.9832
345.5;10219.2162;10842.8869;10294.661;10291.2908;9837.8464;10302.2826;10197.2835;10646.2798;9697.0189
346;10250.9932;10693.8668;10396.501;10270.725;10039.8631;10178.9147;10051.0537;10540.0928;9985.433
346.5;10225.2082;10908.5405;10476.6363;10253.9924;9956.3917;10996.5479;9931.7347;10861.5639;9824.9896
347;10165.3192;10942.1483;10328.6643;9646.7429;9829.3225;10562.2952;10201.5288;10925.7313;9951.3103
347.5;10152.6307;11000.203;10829.8174;9867.3728;9807.0879;10294.3485;9371.6773;10489.1158;9915.47
348;10389.5597;10763.718;10535.6459;9924.5425;9799.5475;10154.5077;9857.3571;10670.561;10009.6165
348.5;10154.3605;11144.593;10585.0063;10080.5185;10065.7768;10039.2132;9848.7815;11032.6509;9848.7662
349;10572.7968;11314.8649;10804.1588;10335.4085;9532.3913;10059.5375;10198.7009;10481.2476;10168.6312
349.5;10192.891;11366.964;10886.4348;10520.9623;9909.7655;10201.2027;9600.6801;10725.0532;9984.8512
350;10561.8124;11206.8138;10784.65;9564.2441;10090.49;9863.9724;10019.6794;10755.0655;10085.6938
350.5;9970.7505;11418.1329;11078.1593;10130.2867;10025.6572;10063.5088;9382.4814;10496.1705;10173.6016
351;10261.7054;11022.9667;10423.1538;9961.3593;9658.9174;10122.5944;9919.0899;10388.3759;10078.7979
351.5;10519.0443;10827.029;10319.3528;10006.1996;10417.392;10248.2831;9610.7279;10973.5352;9923.0215
352;10700.1513;10727.1601;10319.7207;10169.0946;10220.1307;9985.8194;9742.1441;10690.1786;9935.6597
352.5;10444.0441;11087.5961;10449.8133;10437.5896;10104.2267;10280.7771;9657.8441;10496.8436;9973.2613
