[3Fe-4S]+;[4Fe-4S]2+
113.6803;99.7135
116.8106;98.1119
114.4017;98.9294
117.3209;98.626
115.0685;97.6552
118.0656;99.184
118.0959;98.9309
118.61;99.3005
117.2187;98.7791
116.5412;97.0408
114.0281;98.3803
119.0461;97.7761
117.827;95.3285
116.3816;99.2422
114.5494;94.8486
114.2529;95.0185
117.6031;95.6723
119.1956;98.774
116.4809;94.5523
116.7177;95.5885
117.8356;94.6559
118.2747;92.6149
115.2598;97.1515
118.8504;95.569
117.6691;96.069
113.1993;93.6769
113.8307;94.8335
114.8068;97.094
116.0353;94.225
115.7463;94.7334
114.09;97.7263
116.953;98.9383
119.9212;95.7372
119.3232;95.1389
120.5202;92.922
120.4462;93.5027
122.4852;94.0093
117.8268;95.2302
117.0148;94.1719
115.9072;96.7821
115.7255;93.4071
113.2355;97.3864
110.2452;96.1737
111.5143;97.459
113.6396;98.5816
117.2305;95.9271
114.8547;98.0117
115.7545;95.6889
110.1678;94.0737
113.4035;92.399
114.8265;93.3081
114.6709;94.066
115.0352;93.7439
112.0257;96.2011
112.7678;92.544
112.1155;94.6391
119.358;91.7888
114.9913;94.4645
116.3173;93.5917
117.3202;95.7381
114.0809;94.4067
118.9402;95.7007
115.3502;96.1283
116.3357;94.8072
114.9694;93.5083
113.5941;96.2958
114.5819;96.1517
116.0289;94.2283
113.7848;94.8455
114.9926;94.7335
114.2141;95.7836
114.5975;94.9173
116.1059;94.1656
118.9943;94.168
117.1021;93.8163
113.6427;95.4104
114.0956;94.8766
116.8091;94.9799
114.4943;93.1348
117.2065;94.0337
116.2656;93.5103
111.0854;96.954
114.1277;95.6082
121.2075;94.1451
115.5579;95.766
116.492;93.603
116.7062;95.4331
110.6496;96.285
114.8069;95.839
113.0295;93.5272
116.292;92.701
111.7272;95.3107
114.9771;92.5704
114.1728;93.4898
113.0934;90.8092
111.8815;91.0156
118.5162;94.2123
113.4902;93.4618
113.9329;93.4807
116.0428;91.7822
112.5872;92.1471
117.184;94.8585
112.0363;94.3774
115.359;95.8786
115.7277;93.6931
115.6161;97.3732
112.8601;97.095
116.3708;93.2885
113.4922;94.4194
112.2512;95.9378
114.6168;96.7359
113.13;96.9382
112.063;95.086
114.6796;96.0252
115.3799;94.8102
119.4984;94.8911
115.669;95.4281
118.517;93.12
119.8366;92.9199
122.2407;92.2008
119.2848;96.4036
115.7485;90.8425
118.504;91.9683
114.4858;96.2344
118.6371;94.495
114.9768;95.7683
119.3264;95.0001
116.1497;95.6041
117.0865;96.6153
115.749;94.8641
116.7835;96.0301
117.0647;93.7283
115.6486;93.8085
119.3599;95.7727
116.4866;93.3368
114.9175;93.5546
117.1024;94.7118
114.8613;93.0098
119.4043;95.7884
116.1388;93.5773
118.6305;98.7013
119.3517;95.3798
114.0448;95.7783
121.2347;95.6509
116.9543;92.0743
116.439;93.1104
116.4628;96.7323
115.5899;93.3955
111.8226;94.2448
111.3501;95.4109
115.6614;89.2309
110.6201;91.6765
118.7543;95.4933
111.9747;92.5539
112.1492;94.6991
112.4199;94.2852
113.0497;92.5113
112.5398;92.4607
114.2511;92.5232
115.1154;92.3839
113.1245;92.5131
115.3993;92.3209
112.0218;91.3942
109.9163;90.9368
114.0738;93.0123
112.5912;95.1941
112.8852;92.4808
112.5316;92.8519
118.9381;92.9907
115.3609;92.0288
114.5194;90.8422
111.8699;90.0075
112.2142;89.6831
110.7038;91.396
110.273;92.782
110.2105;92.1433
113.0636;93.0612
112.4981;90.2863
113.8234;92.6464
112.9;91.5125
116.9073;89.3383
112.664;91.4685
115.8233;91.5234
115.3856;93.702
117.5053;93.3593
112.1934;90.3491
116.3749;93.7374
114.473;92.3468
112.3203;89.5472
115.9422;92.4312
113.1961;91.3368
111.2642;90.8874
116.9327;91.8018
114.7637;91.565
114.9716;91.7804
112.4416;93.0033
111.8211;92.2447
113.5836;93.4059
115.8968;91.7673
114.554;93.3932
111.9475;93.5069
112.2529;93.422
119.3133;91.9204
110.598;93.3616
112.9165;92.2318
111.9387;92.0271
115.3579;91.1781
117.3825;90.9496
115.7416;92.2767
112.106;90.8836
109.3397;92.4642
114.2887;93.1634
115.8724;89.7015
115.3568;92.0985
115.2802;90.0519
114.6846;91.1326
116.7191;92.4802
112.6196;90.5163
116.9432;91.6117
112.3848;92.8316
112.2571;91.8928
110.8619;91.7787
109.379;91.3704
113.1975;92.5949
107.626;88.8409
110.5994;91.3199
111.5836;92.1574
108.8291;93.935
108.6731;90.9182
110.6169;92.9823
109.6231;92.4759
113.4578;91.979
117.4658;92.5463
117.5016;91.4134
110.3492;94.0059
116.2263;92.5282
116.0455;91.3943
118.302;90.9802
117.2782;92.5807
114.2696;89.3754
114.0136;90.2027
114.2361;91.9684
114.1779;92.599
118.4991;91.4917
