Time (ns);[3Fe-4S]+ exp1;[3Fe-4S]+ exp2;[3Fe-4S]+ exp3;[4Fe-4S]2+ exp1;[4Fe-4S]2+ exp2;[4Fe-4S]2+ exp3;[4Fe-4S]2+ exp4;[4Fe-4S]2+ exp5;[4Fe-4S]2+ exp6
32;52.2812;112.524;111.2421;54.7785;33.1342;11.9568;38.8158;23.4599;21.1212
32.5;46.5668;121.1012;117.1911;62.5101;38.2447;7.8392;30.8114;28.0785;25.5871
33;49.8357;109.7153;107.5852;64.9828;50.651;11.9778;39.2376;22.1142;27.5913
33.5;40.1155;109.2746;104.3536;56.9031;29.6518;11.0621;46.5746;23.9652;15.803
34;47.2116;106.9222;127.1195;49.9028;33.1615;4.2048;58.8572;32.7509;26.6504
34.5;52.3062;112.2071;121.9798;41.8376;36.4344;15.3344;49.9893;46.2168;19.1349
35;44.5994;122.6793;126.3303;42.6937;45.5969;18.8092;59.3602;38.9435;20.5984
35.5;47.769;98.2236;132.0982;44.6993;38.6882;4.8573;47.9052;27.3515;17.123
36;49.8297;106.1502;120.8882;53.6769;42.3428;-0.6632;48.7145;29.4556;17.2887
36.5;63.9792;98.8762;120.7291;64.1584;41.6546;1.3453;58.5989;26.7491;29.5654
37;53.684;100.24;119.8416;66.7916;36.3074;0.4161;49.7879;34.03;29.8043
37.5;49.6966;93.1046;116.6121;47.3782;39.6746;9.3629;46.7839;32.435;18.9774
38;56.8778;116.7485;118.7182;50.3575;40.9808;-1.5926;70.9046;40.8689;24.7841
38.5;60.5582;125.6396;106.2255;50.6646;34.3806;12.1019;48.2531;24.669;16.5355
39;53.587;108.9349;111.9816;53.0518;31.932;6.8881;54.5136;30.4906;22.8884
39.5;54.1811;98.1841;102.975;51.8189;31.3982;2.8235;55.707;39.2673;23.8335
40;51.5628;115.314;106.2168;64.64;41.8786;8.1192;64.418;31.9181;22.9858
40.5;49.3259;108.5641;100.7757;47.7262;38.1629;11.921;49.5323;32.5061;15.6664
41;48.7371;100.9992;107.1361;46.0914;36.2532;11.4134;53.7534;28.7076;26.4133
41.5;46.9348;103.0865;107.3057;49.8956;43.1574;7.5694;44.5777;37.1525;22.4662
42;43.603;102.0357;117.6152;55.019;36.9659;6.5413;52.3528;36.5095;27.5325
42.5;41.9144;103.1643;102.2381;61.9397;47.2454;4.1508;48.1186;41.5634;26.7079
43;45.0055;105.6621;112.3225;60.8435;47.6918;4.4064;59.877;49.1743;17.7013
43.5;41.6771;100.0586;90.7866;49.4637;35.1441;4.1742;56.4618;50.1734;17.0615
44;42.7204;121.9309;99.597;54.5028;45.8549;17.7866;61.0202;40.5838;24.1281
44.5;35.8636;118.3593;98.0857;56.929;39.101;13.1399;40.1194;29.7998;32.4054
45;45.944;121.9581;95.4572;53.9964;42.0624;8.8536;24.018;47.4735;34.7886
45.5;40.969;107.3011;100.7969;45.6751;46.8872;13.0434;35.7703;36.9235;17.6029
46;41.5009;98.4888;106.9596;51.3412;48.0796;7.4049;35.7026;33.9865;19.2088
46.5;46.194;97.0806;113.3183;51.864;36.552;12.2415;43.927;28.9676;10.9516
47;39.7616;110.3755;113.3059;60.6251;33.3379;0.7368;25.1843;29.6855;20.4907
47.5;49.0362;90.4983;103.4697;43.7251;32.6559;4.8731;27.7768;51.4356;14.9058
48;47.4155;112.6326;108.3766;52.7753;29.1863;14.002;26.8663;33.4858;23.0616
48.5;48.2505;100.1564;99.4173;52.5204;30.1219;8.349;53.3571;35.7182;21.5047
49;51.2616;115.0188;105.0701;60.628;30.2164;-1.7655;51.7083;28.8434;13.0115
49.5;47.0868;94.1606;99.339;51.4573;37.6793;5.0862;57.5621;38.3199;21.5509
50;54.4271;116.0561;91.6276;56.2582;31.5878;5.8091;44.6966;39.9242;16.3848
50.5;38.8229;113.0629;90.5264;59.226;27.164;10.473;68.2422;33.8737;22.8061
51;52.0752;117.4495;84.2124;55.9105;36.1005;8.7898;30.2899;33.9229;12.4989
51.5;50.6891;119.3815;80.1804;48.7514;37.5183;10.1935;60.2407;36.1501;21.7363
52;47.4396;116.193;75.6309;41.9952;33.8285;1.5028;49.0886;34.0283;16.6932
52.5;51.6739;108.3328;100.9658;50.6769;36.3409;13.3939;49.2696;40.0249;24.1539
53;49.4188;112.4913;116.8948;44.4531;33.1166;9.2015;63.7037;32.4827;18.7275
53.5;40.2929;115.9798;123.7276;49.9296;19.4178;0.2293;53.0934;42.9021;22.8695
54;45.2304;115.5099;104.1209;50.889;36.4685;8.7715;49.3736;45.1866;35.3212
54.5;45.5038;116.4004;117.4535;53.2297;33.9611;5.311;44.2272;43.5561;30.7488
55;42.2334;115.9514;104.309;40.0779;39.4518;6.2853;51.9447;33.2428;27.3478
55.5;53.8184;115.5924;125.1563;50.119;24.152;8.3305;63.4738;34.5385;32.7937
56;46.2353;114.7314;112.8343;56.9597;47.2831;7.5149;54.5112;49.2828;30.782
56.5;45.1957;106.0178;115.3713;52.8227;32.418;7.9191;41.9661;44.741;21.2188
57;57.2382;115.5688;130.1741;62.1907;26.6783;6.9863;40.13;41.825;24.5102
57.5;40.4919;108.7638;139.2746;59.6049;24.1354;5.9566;30.6916;28.8389;30.9004
58;42.3977;98.3565;138.8019;54.3337;26.276;14.2553;40.7169;38.6461;26.7577
58.5;47.4148;114.0154;114.3072;47.6839;37.9579;15.8085;45.526;32.3521;38.1982
59;51.2696;112.6617;122.5245;42.2419;24.4919;11.6671;45.7266;37.2867;30.1584
59.5;52.6865;111.0176;102.2187;47.6654;30.4268;11.3891;52.6581;33.1368;17.1357
60;40.6186;105.4207;112.9605;46.9072;33.3877;1.3646;51.9932;38.6741;27.0192
60.5;47.5802;122.8653;104.1569;46.4233;39.9441;8.2668;44.6537;34.4049;24.866
61;35.8594;115.2465;110.0333;42.9905;30.6494;1.3706;48.5546;38.8123;24.8309
61.5;45.8539;123.316;108.4927;50.3347;25.9779;10.0372;56.646;33.2838;31.9017
62;43.3669;137.2142;104.9976;45.2252;24.6628;14.7655;50.1877;51.5548;32.7168
62.5;42.8189;148.5093;108.7512;45.9027;20.3304;2.1138;37.9789;49.1621;27.4124
63;32.6623;130.9137;102.0652;40.7113;34.5987;5.0425;49.4499;28.2222;26.8503
63.5;38.7897;137.7943;108.2501;38.3082;30.4939;7.6478;48.3478;37.133;20.9286
64;38.3893;135.2065;126.6305;33.3669;38.7537;12.4926;54.6121;41.397;23.0154
64.5;47.6205;133.8969;131.4636;32.5126;42.8867;9.362;35.7973;37.3235;30.6859
65;43.5855;133.4996;111.9786;34.7037;45.548;11.262;38.3866;49.0498;17.8434
65.5;48.523;147.0565;107.8253;49.8773;29.9487;2.091;49.9857;43.8829;31.5602
66;43.9496;132.1398;113.8634;45.8322;33.9511;1.6593;51.3699;49.5274;25.8006
66.5;46.0434;142.3977;117.7199;32.2245;29.2159;7.7485;41.8678;39.893;20.4102
67;40.5337;134.8648;118.4681;32.7111;30.4181;16.995;55.5176;47.518;16.9923
67.5;52.3013;134.9678;110.5897;35.1349;31.5924;-1.4335;55.465;42.2466;30.0225
68;33.9257;124.8594;110.5703;44.818;37.6862;11.4044;39.9889;50.4362;31.7793
68.5;41.0422;130.2622;113.9428;34.2395;36.9699;20.2292;48.8146;45.2093;30.3886
69;53.5624;143.6043;120.3462;29.0669;29.373;2.9164;53.6086;38.6374;19.8542
69.5;43.5714;130.7816;105.77;41.9552;39.7675;7.3494;49.5443;31.4447;21.7507
70;64.0796;135.6068;111.8088;34.5111;38.2059;10.2717;29.8148;38.9445;22.8094
70.5;57.7378;146.2516;117.3621;53.3396;41.7816;9.7749;29.0649;43.487;22.4149
71;50.2556;138.3721;120.6761;40.4215;36.0688;4.9881;31.1346;44.9211;26.8083
71.5;54.1425;123.3835;111.625;42.9317;33.3037;3.4057;34.9009;39.0548;33.5356
72;55.844;127.3456;104.8914;35.2652;40.1369;22.1211;45.6804;19.2867;32.7528
72.5;62.6943;130.4146;118.0855;60.1996;51.3185;4.0614;52.2218;45.504;24.3021
73;42.9131;134.7801;124.5954;49.2125;32.4557;8.7696;45.982;29.9595;20.2685
73.5;40.5338;130.6384;120.405;53.767;35.3068;7.0989;33.8148;37.7632;34.492
74;46.783;122.1908;127.2547;37.4703;32.013;4.1078;24.9293;32.1723;37.9563
74.5;44.4972;143.1382;111.2125;41.7309;29.4608;14.6998;31.6738;48.2772;24.022
75;54.8291;119.0954;123.7571;46.3136;39.6624;10.567;40.8789;31.0467;38.9609
75.5;53.317;127.9315;85.0601;46.6805;41.1714;16.7716;27.5769;38.6188;28.8226
76;56.2177;135.151;118.6949;37.2116;39.5777;14.183;27.804;38.3136;28.624
76.5;49.8673;125.9078;115.8534;46.0376;35.9137;10.7336;26.1679;34.4589;25.7105
77;43.8858;139.2447;111.7939;53.4576;31.2894;13.4402;30.381;33.4949;26.7705
77.5;49.8528;148.248;111.582;47.8052;32.9767;9.593;22.814;34.4216;23.6494
78;44.583;142.6873;118.2864;41.7255;33.0888;9.5214;22.9651;33.864;23.0444
78.5;51.9014;140.3093;105.4531;37.9237;35.4717;8.2042;27.8877;40.0419;29.0933
79;54.7701;132.6375;106.9407;42.1905;39.557;7.3552;29.9725;23.5686;26.0152
79.5;48.712;138.8098;113.3203;43.3617;45.2178;5.7278;30.0416;32.3865;26.2782
80;63.1278;138.0177;102.1126;48.0157;44.7317;12.3948;31.8274;41.9125;28.876
80.5;54.8525;132.0008;112.6138;41.8401;48.9914;9.7271;28.5752;41.5227;30.3193
81;50.7235;119.26;113.6659;43.3335;35.6652;16.2156;25.3743;61.2296;26.8757
81.5;44.4186;117.0357;122.9282;49.8741;37.8753;3.608;43.2441;54.6024;38.8129
82;52.3397;119.6913;113.1218;47.2539;43.7416;16.5488;28.9602;62.523;25.0529
82.5;47.6023;137.7219;112.046;54.418;38.0157;2.6546;20.6484;66.3209;18.4545
83;40.1291;113.3978;125.1556;51.0773;33.6076;2.7086;35.2159;69.6005;22.1042
83.5;38.2522;106.5666;115.3164;51.8391;36.5187;6.8241;38.766;51.6967;18.9733
84;47.9192;119.1612;97.6496;54.0158;39.4164;24.0892;43.9038;37.9657;27.1712
84.5;49.7114;134.6552;107.2514;49.6343;36.2564;5.6516;52.0175;65.3052;28.589
85;34.5165;117.1358;98.0131;50.3108;32.3733;14.9267;41.887;52.1787;23.2671
85.5;44.0681;129.3324;112.2189;57.227;34.8969;2.0129;36.4466;47.3975;29.0128
86;45.6455;135.1737;105.633;40.707;46.7015;6.3225;33.3762;63.3586;20.0137
86.5;45.6601;134.388;111.7478;53.2795;37.1948;5.5971;24.6801;60.5678;21.4224
87;45.3203;122.4378;105.1059;44.5719;37.6061;21.7139;32.0378;59.6571;20.6211
87.5;38.1353;131.6027;105.7701;52.8754;33.2723;13.5542;45.481;52.0937;26.6157
88;44.8497;135.1064;94.8366;48.9315;30.2312;-3.2072;30.2256;61.9852;25.4786
88.5;34.769;109.2365;121.067;52.5296;41.6823;6.4224;35.3415;61.638;26.4413
89;46.627;124.2496;117.2999;51.2208;32.8805;6.5511;38.9285;60.5507;27.4679
89.5;36.0639;118.3608;90.2184;61.9367;31.1734;-1.6463;34.1705;45.8004;27.7037
90;41.7705;137.001;112.8133;46.2934;38.6163;-2.4041;28.4017;52.929;19.0511
90.5;55.2961;126.9642;103.8817;42.5652;33.8767;10.0361;30.5114;47.6642;25.9872
91;47.6708;115.4007;104.4179;38.3628;43.3671;6.1526;27.8186;54.9277;26.6758
91.5;42.7938;132.8528;98.026;38.6264;35.3636;9.4129;36.8075;41.5121;19.8116
92;46.1243;142.9714;114.6148;55.778;42.0638;3.7377;38.6021;43.0908;18.4315
92.5;48.8098;131.1446;110.9035;65.0289;44.6113;18.079;52.0456;55.9881;31.3315
93;47.2708;141.5068;89.7092;68.0748;30.7975;2.8938;39.3723;47.7038;26.7902
93.5;54.9053;132.4196;86.3185;56.3773;34.2009;2.9701;42.1673;38.2543;16.9882
94;46.8496;117.4976;102.4782;60.8388;43.9718;13.4584;35.8783;58.4485;21.545
94.5;44.171;135.0877;81.1896;34.1388;36.3315;9.7339;51.3234;37.0681;19.9063
95;46.5138;145.2291;99.5318;40.2546;48.1048;-1.1654;56.1732;48.1378;34.3335
95.5;43.0252;134.7244;104.4131;40.007;48.4483;1.8886;37.368;50.1453;26.7728
96;47.2231;134.5885;82.6225;45.0289;31.7075;3.9336;43.2543;46.5882;29.7999
96.5;52.8288;136.05;105.2998;58.3911;45.9363;3.3298;24.7934;45.5451;21.5315
97;37.3911;136.6884;103.7325;36.2925;42.4621;1.1014;45.9811;51.8261;25.3703
97.5;43.7377;135.3734;74.379;40.6789;42.2112;5.0366;46.2295;35.4125;21.9045
98;53.9305;141.6427;96.2194;35.475;31.9113;3.4234;36.4217;53.2493;15.226
98.5;51.2261;142.9592;78.8841;47.8535;36.2328;4.7555;33.4849;44.6288;18.0737
99;46.143;134.9282;84.8268;42.3116;42.0993;2.7545;37.2531;44.6808;24.3049
99.5;59.8157;140.3203;77.4475;42.5009;33.6462;11.958;35.7626;49.7443;21.1879
100;47.7763;135.1707;87.463;48.7801;36.9974;3.1512;35.0846;48.5297;23.1942
100.5;59.1293;129.7275;97.0729;43.1921;41.6235;-0.2923;48.1139;51.51;25.1321
101;57.4843;130.5259;105.4186;47.8342;44.8724;8.176;41.8419;47.4601;16.6667
101.5;57.2126;138.3567;85.9199;57.4905;34.5853;2.3239;53.1481;60.6762;22.1313
102;59.0908;123.6539;107.5341;35.7886;50.6051;3.8317;36.9613;51.8943;33.0443
102.5;44.9022;138.5308;103.4919;43.2438;42.8741;13.3452;37.3883;60.2053;31.4801
103;52.405;138.9817;98.5028;56.8607;39.2428;19.3478;59.2178;51.5013;28.6301
