Wavelength (nm);FXN;ACO2;FXN:ACO2 2.5:1;Sum of FXN and ACO2 spectra;;;;
421;13.404361;7.811491;19.527261;21.828061;;;;
422;13.255833;7.358923;18.596033;21.231833;;;;
423;12.2737;6.90386;17.1868;19.799;;;;
424;11.689977;6.826167;16.496577;19.099677;;;;
425;11.339571;6.271781;16.244871;18.222871;;;;
426;10.877905;6.099395;15.278905;17.509705;;;;
427;10.920526;5.959216;14.535526;17.374526;;;;
428;9.706919;5.406139;13.790919;15.684719;;;;
429;9.345521;5.144811;13.288241;15.118641;;;;
430;9.094097;5.022307;12.689917;14.677517;;;;
431;8.568268;4.920488;11.882288;14.072088;;;;
432;8.356756;4.519986;11.652156;13.431056;;;;
433;7.920162;4.159852;10.653802;12.640002;;;;
434;7.507014;4.018924;10.550834;12.033734;;;;
435;7.008366;3.946756;9.977306;11.482506;;;;
436;6.961304;3.577114;9.558944;11.103144;;;;
437;6.261884;3.347674;8.839014;10.187214;;;;
438;6.206563;3.401603;8.528223;10.144613;;;;
439;5.82542;3.03653;7.93734;9.4215;;;;
440;5.551992;2.932312;7.956922;9.005122;;;;
441;5.449222;2.952982;7.673182;8.900032;;;;
442;5.075275;2.512085;7.119465;8.120825;;;;
443;5.337706;2.654136;6.866596;8.481056;;;;
444;4.731006;2.491706;6.502396;7.729916;;;;
445;4.394571;2.204611;6.128671;7.139071;;;;
446;4.378276;2.170436;6.164416;7.050296;;;;
447;3.902042;2.262332;5.635652;6.667452;;;;
448;3.869628;2.008768;5.355718;6.373868;;;;
449;3.757148;1.887108;4.919848;6.093438;;;;
450;3.564368;1.785498;4.947378;5.803138;;;;
451;3.354634;1.670374;4.545914;5.475004;;;;
452;3.221491;1.571021;4.268851;5.285501;;;;
453;3.066204;1.455864;4.177434;4.939614;;;;
454;2.884546;1.396526;3.938006;4.709096;;;;
455;2.763934;1.460074;3.669184;4.636174;;;;
456;2.629109;1.114389;3.286669;4.206939;;;;
457;2.540617;1.152977;3.259967;4.171337;;;;
458;2.309666;1.091756;3.032386;3.865206;;;;
459;2.101517;1.092517;3.000037;3.616457;;;;
460;2.042251;0.942151;2.609061;3.464311;;;;
461;2.005152;1.041172;2.453112;3.488112;;;;
462;1.953249;1.057089;2.511469;3.372129;;;;
463;1.767624;0.956164;2.353134;3.098864;;;;
464;1.724488;0.799868;2.225278;2.932008;;;;
465;1.588767;0.739037;2.126907;2.725347;;;;
466;1.635751;0.707311;2.161461;2.711011;;;;
467;1.442249;0.634279;1.866769;2.495479;;;;
468;1.408796;0.611383;1.751046;2.400586;;;;
469;1.445216;0.582477;1.687936;2.418426;;;;
470;1.29356;0.548898;1.58757;2.20593;;;;
471;1.310311;0.649082;1.705721;2.277001;;;;
472;1.166237;0.505503;1.564197;2.027247;;;;
473;1.109354;0.468443;1.459714;1.936414;;;;
474;1.047654;0.426737;1.332944;1.870924;;;;
475;0.947619;0.342675;1.271859;1.676959;;;;
476;0.914978;0.422943;1.210048;1.713148;;;;
477;1.007997;0.558044;1.214647;1.873947;;;;
478;0.958351;0.403025;1.023921;1.727341;;;;
479;0.826212;0.371616;1.047652;1.562842;;;;
480;0.78495;0.380815;1.04352;1.54071;;;;
481;0.839274;0.325682;0.957974;1.500194;;;;
482;0.675677;0.274021;0.973387;1.313167;;;;
483;0.741554;0.243845;0.883084;1.386344;;;;
484;0.626052;0.323339;0.849955;1.295985;;;;
485;0.619403;0.289398;0.838721;1.258621;;;;
486;0.702653;0.312593;0.781973;1.323423;;;;
487;0.644498;0.250007;0.75932;1.23404;;;;
488;0.584721;0.244286;0.63006;1.20993;;;;
489;0.524093;0.264636;0.693227;1.154037;;;;
490;0.48798;0.159482;0.630722;1.056852;;;;
491;0.534171;0.189395;0.669065;1.074055;;;;
492;0.384555;0.125891;0.565976;0.905208;;;;
493;0.504501;0.240657;0.607261;1.079517;;;;
494;0.482762;0.151888;0.565687;0.965663;;;;
495;0.473389;0.158408;0.495575;0.979602;;;;
496;0.486973;0.205827;0.558306;1.022687;;;;
497;0.411267;0.185265;0.590291;0.936119;;;;
498;0.438699;0.209848;0.503451;1.01037;;;;
499;0.431092;0.183982;0.497855;0.944857;;;;
500;0.295596;0.167106;0.468429;0.825718;;;;
