Wavelength (nm);FXN;ACO2;FXN:ACO2 2.5:1;Sum of FXN and ACO2 spectra;;;;
421;22.011061;23.877961;44.501561;46.501261;;;;
422;20.889533;22.646933;42.074733;44.153533;;;;
423;19.857;21.5507;39.3572;42.0291;;;;
424;19.148877;20.993477;38.412977;40.725777;;;;
425;18.195171;19.845471;35.974071;38.652171;;;;
426;17.244405;19.104105;34.078605;36.880805;;;;
427;16.483926;18.448626;32.695126;35.427326;;;;
428;15.612119;17.242619;31.017019;33.426419;;;;
429;14.977141;16.339741;29.635241;31.945041;;;;
430;13.924717;15.887617;27.839217;30.373417;;;;
431;13.784588;15.154888;26.766688;29.522788;;;;
432;12.959856;14.564256;25.419256;28.078456;;;;
433;12.187202;13.812902;24.083102;26.560102;;;;
434;11.853934;12.948234;22.817934;25.309934;;;;
435;11.206806;12.244706;21.550406;23.978906;;;;
436;10.694944;11.918244;20.866444;23.177944;;;;
437;9.936114;11.113914;19.772414;21.627714;;;;
438;9.758513;10.408113;18.952913;20.703013;;;;
439;8.89358;9.90265;17.67805;19.35575;;;;
440;8.842642;9.075392;16.927692;18.438792;;;;
441;8.506002;8.658262;16.370572;17.662072;;;;
442;8.075915;8.016845;15.568235;16.626235;;;;
443;7.484616;7.786746;14.455386;15.760586;;;;
444;7.339526;7.507346;13.898396;15.354096;;;;
445;6.846011;6.921161;13.194811;14.307111;;;;
446;6.937026;6.414616;12.400816;13.853216;;;;
447;6.464352;6.021332;11.787822;12.988722;;;;
448;5.885098;5.736508;11.303428;12.117028;;;;
449;5.775388;5.400888;10.775618;11.625418;;;;
450;5.224348;5.101368;10.145128;10.779028;;;;
451;5.377354;4.644524;9.680204;10.471904;;;;
452;4.988081;4.627691;8.824811;10.108811;;;;
453;4.754034;4.397524;8.541574;9.569094;;;;
454;4.491056;4.071966;8.123906;8.991046;;;;
455;4.249984;3.862264;7.408124;8.524414;;;;
456;4.053139;3.615699;7.132099;8.132289;;;;
457;3.570097;3.424757;6.811517;7.472587;;;;
458;3.361506;3.215056;6.426726;7.040356;;;;
459;3.413677;2.978427;6.127937;6.814527;;;;
460;3.117921;2.629711;5.689591;6.227541;;;;
461;3.091842;2.709652;5.200882;6.243282;;;;
462;2.887529;2.591069;5.240609;5.840389;;;;
463;2.729724;2.481594;4.869414;5.586394;;;;
464;2.606318;2.351888;4.489128;5.365868;;;;
465;2.649627;2.209277;4.448737;5.256447;;;;
466;2.463571;1.905021;3.940971;4.736541;;;;
467;2.328329;1.923729;3.941599;4.671009;;;;
468;2.269206;1.841046;3.673726;4.490666;;;;
469;1.903506;1.770056;3.365496;4.064296;;;;
470;1.9501;1.67533;3.24619;3.9889;;;;
471;1.890941;1.668711;3.101831;3.877261;;;;
472;1.738127;1.411097;3.050287;3.504727;;;;
